input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 4, 3]-[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 4, 1, 3]-[3, 4, 2, 1]-[4, 1, 2, 3]-[4, 1, 3, 2]",4,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]', '[(2, 3), (2, 4), (1, 3), (2, 1)]']",0.02889322
"[1, 4, 2, 3]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 2, 1, 4]-[3, 4, 2, 1]-[4, 1, 3, 2]-[4, 3, 1, 2]",4,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (4, 2), (3, 2), (4, 1)]', '[(3, 1), (3, 2), (3, 4), (1, 4)]']",0.02511163
"[1, 2, 4, 3]-[1, 3, 2, 4]-[2, 1, 3, 4]-[2, 3, 1, 4]-[3, 1, 4, 2]-[3, 4, 2, 1]-[4, 2, 3, 1]",6,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (1, 4), (2, 3)]']",0.02773534
"[1, 2, 4, 3]-[1, 3, 2, 4]-[1, 4, 2, 3]-[2, 3, 1, 4]-[4, 1, 2, 3]-[4, 2, 1, 3]-[4, 2, 3, 1]",4,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (4, 2), (4, 3)]']",0.02864399
"[1, 2, 3, 4]-[2, 1, 4, 3]-[2, 4, 1, 3]-[3, 2, 4, 1]-[4, 1, 2, 3]-[4, 3, 1, 2]-[4, 3, 2, 1]",5,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(2, 4), (2, 1), (4, 3), (2, 3), (1, 3)]', '[(4, 3), (3, 1), (4, 2), (3, 2), (4, 1)]']",0.0284573
"[1, 3, 2, 4]-[2, 1, 3, 4]-[2, 4, 1, 3]-[3, 2, 1, 4]-[3, 4, 1, 2]-[4, 2, 3, 1]-[4, 3, 2, 1]",6,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (4, 2), (4, 1)]']",0.02782078
"[1, 2, 4, 3]-[2, 4, 1, 3]-[3, 1, 4, 2]-[3, 4, 1, 2]-[4, 1, 2, 3]-[4, 2, 3, 1]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]', '[(3, 1), (3, 2), (1, 2), (4, 2)]']",0.02801141
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 3, 4, 2]-[2, 4, 1, 3]-[3, 2, 1, 4]-[3, 2, 4, 1]-[4, 1, 3, 2]",5,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (1, 2), (1, 4), (2, 3), (1, 3)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2)]']",0.02853209
"[1, 2, 4, 3]-[2, 1, 3, 4]-[2, 1, 4, 3]-[3, 1, 2, 4]-[3, 4, 1, 2]-[4, 1, 2, 3]-[4, 2, 1, 3]",5,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (2, 1), (1, 4), (2, 3), (1, 3)]', '[(1, 3), (4, 3), (4, 2), (2, 3), (4, 1)]']",0.0311551
"[1, 2, 3, 4]-[1, 3, 4, 2]-[1, 4, 3, 2]-[2, 3, 4, 1]-[3, 2, 1, 4]-[4, 1, 3, 2]-[4, 2, 3, 1]",5,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]', '[(3, 2), (1, 2), (1, 3), (4, 2)]']",0.03186275
"[1, 4, 2, 3]-[1, 4, 3, 2]-[2, 1, 4, 3]-[2, 4, 1, 3]-[3, 2, 4, 1]-[4, 1, 2, 3]-[4, 3, 2, 1]",5,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (4, 2), (2, 3), (1, 3)]', '[(2, 4), (2, 1), (4, 3), (2, 3), (1, 3)]']",0.02984251
"[2, 1, 4, 3]-[2, 3, 1, 4]-[2, 4, 1, 3]-[2, 4, 3, 1]-[4, 1, 2, 3]-[4, 2, 3, 1]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (4, 3)]']",0.03019873
"[1, 4, 3, 2]-[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 1, 2, 4]-[3, 4, 1, 2]-[4, 2, 1, 3]-[4, 3, 1, 2]",5,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (3, 1), (2, 3), (4, 1)]', '[(1, 2), (3, 1), (4, 2), (3, 2), (4, 1)]']",0.02838006
"[1, 3, 4, 2]-[1, 4, 3, 2]-[2, 1, 4, 3]-[2, 4, 1, 3]-[3, 2, 4, 1]-[3, 4, 1, 2]-[4, 1, 3, 2]",4,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (2, 1), (4, 3), (2, 3), (1, 3)]', '[(3, 2), (1, 2), (1, 3), (4, 2)]']",0.03072789
"[1, 4, 2, 3]-[2, 1, 3, 4]-[2, 1, 4, 3]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 2, 4, 1]-[3, 4, 2, 1]",4,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (1, 4), (2, 3), (1, 3)]', '[(1, 2), (3, 4), (3, 1), (1, 4), (3, 2)]', '[(2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",0.02745503
"[1, 3, 2, 4]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 4, 2, 1]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 2, 1, 3]",4,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (3, 4), (3, 1), (1, 4), (3, 2)]', '[(1, 3), (4, 1), (4, 2), (4, 3)]']",0.02815666
"[3, 2, 4, 1]-[3, 4, 1, 2]-[3, 4, 2, 1]-[4, 1, 3, 2]-[4, 2, 1, 3]-[4, 2, 3, 1]-[4, 3, 2, 1]",3,"['[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]', '[(3, 1), (3, 2), (4, 1), (3, 4)]', '[(4, 1), (2, 1), (4, 2), (4, 3)]']",0.02132065
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 4, 2, 3]-[2, 4, 1, 3]-[3, 2, 1, 4]-[3, 4, 2, 1]-[4, 3, 2, 1]",4,"['[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 1), (3, 1), (4, 2), (3, 2), (4, 1)]', '[(2, 3), (1, 2), (1, 3), (1, 4)]']",0.03201993
"[1, 4, 2, 3]-[1, 4, 3, 2]-[2, 1, 3, 4]-[2, 4, 1, 3]-[2, 4, 3, 1]-[3, 1, 4, 2]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (1, 4), (4, 2), (1, 3)]', '[(2, 4), (2, 1), (4, 3), (2, 3), (4, 1)]']",0.02995352
"[1, 2, 3, 4]-[1, 3, 2, 4]-[1, 3, 4, 2]-[1, 4, 2, 3]-[2, 3, 1, 4]-[2, 4, 1, 3]-[3, 4, 2, 1]",5,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (1, 3), (3, 4), (1, 4)]']",0.03103696
"[1, 2, 3, 4]-[1, 4, 2, 3]-[1, 4, 3, 2]-[3, 2, 1, 4]-[4, 1, 3, 2]-[4, 2, 1, 3]-[4, 2, 3, 1]",5,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (4, 3), (4, 2), (3, 2), (1, 3)]', '[(2, 1), (4, 3), (4, 2), (2, 3), (4, 1)]']",0.02902059
"[1, 3, 2, 4]-[1, 3, 4, 2]-[1, 4, 3, 2]-[2, 3, 1, 4]-[3, 2, 4, 1]-[4, 2, 1, 3]-[4, 2, 3, 1]",4,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 1), (4, 3), (4, 2), (2, 3), (4, 1)]', '[(3, 2), (1, 2), (1, 3), (1, 4)]']",0.0317482
"[1, 2, 3, 4]-[1, 3, 2, 4]-[1, 3, 4, 2]-[3, 1, 4, 2]-[3, 2, 4, 1]-[3, 4, 1, 2]-[4, 3, 2, 1]",4,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (1, 2), (3, 4), (1, 4), (1, 3)]', '[(3, 2), (1, 2), (3, 4), (4, 2)]']",0.03129589
"[2, 1, 4, 3]-[2, 3, 1, 4]-[2, 4, 1, 3]-[3, 1, 2, 4]-[3, 1, 4, 2]-[4, 1, 2, 3]-[4, 2, 1, 3]",4,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (1, 4), (3, 2)]', '[(2, 3), (4, 3), (1, 3), (4, 1)]']",0.03039912
"[1, 2, 4, 3]-[1, 3, 4, 2]-[2, 1, 3, 4]-[2, 4, 1, 3]-[2, 4, 3, 1]-[3, 1, 2, 4]-[4, 2, 1, 3]",6,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 1), (4, 1), (4, 3), (2, 3), (1, 3)]']",0.028947
"[1, 3, 2, 4]-[2, 3, 1, 4]-[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 4, 2, 1]-[4, 3, 1, 2]-[4, 3, 2, 1]",4,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(4, 3), (3, 1), (4, 2), (3, 2), (4, 1)]', '[(3, 1), (2, 4), (2, 3), (2, 1)]']",0.02716364
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 4, 3, 2]-[2, 1, 3, 4]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 2, 1, 3]",4,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 4), (3, 4), (1, 4), (2, 3), (1, 3)]', '[(1, 3), (4, 1), (4, 2), (4, 3)]']",0.02396731
"[1, 3, 2, 4]-[1, 3, 4, 2]-[2, 3, 4, 1]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 2, 1, 4]-[3, 4, 1, 2]",3,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(3, 2), (1, 2), (3, 4)]']",0.02181848
"[1, 2, 4, 3]-[1, 4, 3, 2]-[2, 4, 3, 1]-[3, 2, 4, 1]-[3, 4, 2, 1]-[4, 2, 3, 1]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (2, 3), (4, 1)]', '[(2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",0.02774222
"[1, 3, 4, 2]-[1, 4, 2, 3]-[3, 2, 4, 1]-[3, 4, 1, 2]-[3, 4, 2, 1]-[4, 1, 2, 3]-[4, 1, 3, 2]",4,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]', '[(3, 1), (3, 2), (4, 1), (3, 4)]']",0.02512261
"[1, 2, 4, 3]-[1, 3, 2, 4]-[1, 3, 4, 2]-[1, 4, 3, 2]-[2, 3, 4, 1]-[3, 1, 2, 4]-[4, 3, 2, 1]",5,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(3, 2), (1, 2), (1, 3), (1, 4)]']",0.03291486
"[1, 2, 3, 4]-[1, 2, 4, 3]-[2, 3, 1, 4]-[3, 4, 2, 1]-[4, 2, 1, 3]-[4, 2, 3, 1]-[4, 3, 2, 1]",3,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 4), (1, 2), (1, 4), (2, 3), (1, 3)]', '[(4, 1), (2, 1), (4, 2)]']",0.02784648
"[1, 4, 2, 3]-[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 4, 1, 3]-[3, 1, 4, 2]-[4, 2, 3, 1]-[4, 3, 1, 2]",5,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (2, 4), (1, 3), (2, 1)]']",0.03068528
"[1, 2, 3, 4]-[1, 2, 4, 3]-[2, 3, 1, 4]-[3, 1, 4, 2]-[3, 2, 4, 1]-[4, 1, 2, 3]-[4, 1, 3, 2]",5,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 4), (1, 2), (1, 4), (2, 3), (1, 3)]', '[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]']",0.0295449
"[1, 2, 3, 4]-[3, 1, 4, 2]-[3, 2, 4, 1]-[3, 4, 2, 1]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 2, 1]",4,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]', '[(3, 1), (3, 2), (4, 1), (2, 1)]']",0.02665622
"[1, 2, 4, 3]-[1, 4, 3, 2]-[2, 1, 4, 3]-[2, 3, 1, 4]-[3, 1, 2, 4]-[4, 1, 2, 3]-[4, 3, 1, 2]",6,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (4, 3), (1, 4), (2, 3), (1, 3)]']",0.02677935
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 4, 2, 3]-[1, 4, 3, 2]-[2, 4, 3, 1]-[4, 2, 1, 3]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (1, 3), (1, 4), (4, 3)]']",0.0333233
"[1, 2, 3, 4]-[2, 3, 1, 4]-[2, 3, 4, 1]-[2, 4, 1, 3]-[3, 2, 4, 1]-[4, 3, 1, 2]-[4, 3, 2, 1]",5,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(4, 3), (3, 1), (4, 2), (3, 2), (4, 1)]']",0.02828904
"[1, 2, 4, 3]-[1, 3, 2, 4]-[1, 4, 2, 3]-[2, 4, 1, 3]-[3, 1, 2, 4]-[4, 2, 1, 3]-[4, 3, 2, 1]",4,"['[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (1, 4), (2, 3), (1, 3)]', '[(2, 4), (1, 2), (3, 4), (1, 4), (3, 2)]', '[(2, 1), (4, 1), (4, 3), (2, 3), (1, 3)]']",0.02909271
"[1, 2, 3, 4]-[2, 3, 4, 1]-[3, 1, 2, 4]-[3, 1, 4, 2]-[4, 1, 3, 2]-[4, 2, 1, 3]-[4, 3, 2, 1]",6,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (3, 4), (3, 1), (1, 4), (3, 2)]']",0.02896193
"[1, 2, 4, 3]-[2, 1, 3, 4]-[2, 3, 1, 4]-[3, 2, 1, 4]-[3, 2, 4, 1]-[4, 1, 2, 3]-[4, 2, 1, 3]",4,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(1, 3), (4, 3), (4, 2), (2, 3), (4, 1)]', '[(2, 4), (1, 4), (2, 1), (3, 4)]']",0.02870466
"[2, 1, 4, 3]-[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 1, 4, 2]-[3, 2, 1, 4]-[3, 2, 4, 1]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(3, 1), (2, 4), (4, 1), (2, 1)]']",0.03030672
"[1, 2, 4, 3]-[1, 3, 2, 4]-[2, 1, 3, 4]-[3, 2, 1, 4]-[3, 4, 1, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]",6,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]']",0.02734873
"[2, 1, 4, 3]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 2, 4, 1]-[4, 1, 3, 2]-[4, 2, 1, 3]-[4, 3, 1, 2]",5,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]', '[(1, 2), (3, 4), (3, 1), (1, 4), (3, 2)]', '[(1, 2), (4, 3), (4, 2), (3, 2), (4, 1)]']",0.02906481
"[3, 1, 2, 4]-[3, 2, 1, 4]-[3, 4, 1, 2]-[3, 4, 2, 1]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 2, 1]",4,"['[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (3, 4), (3, 1), (1, 4), (3, 2)]', '[(2, 1), (3, 1), (4, 2), (3, 2), (4, 1)]', '[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]']",0.02705331
"[1, 2, 3, 4]-[1, 4, 2, 3]-[1, 4, 3, 2]-[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 3, 4, 1]-[3, 4, 1, 2]",5,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (1, 4), (4, 2), (1, 3)]', '[(2, 4), (2, 1), (1, 4), (2, 3), (1, 3)]']",0.03031468
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 3, 4, 2]-[2, 3, 1, 4]-[3, 2, 1, 4]-[4, 1, 2, 3]-[4, 2, 3, 1]",5,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]', '[(2, 4), (1, 2), (1, 4), (2, 3), (1, 3)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]']",0.02927036
"[1, 3, 4, 2]-[1, 4, 2, 3]-[2, 3, 1, 4]-[2, 3, 4, 1]-[3, 1, 4, 2]-[3, 4, 1, 2]-[3, 4, 2, 1]",3,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (2, 3)]', '[(3, 2), (3, 4), (4, 2)]']",0.02438579
"[1, 3, 2, 4]-[1, 3, 4, 2]-[1, 4, 2, 3]-[3, 2, 4, 1]-[3, 4, 1, 2]-[4, 1, 3, 2]-[4, 3, 2, 1]",6,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (3, 4), (1, 4), (3, 2), (1, 3)]']",0.02482721
"[1, 2, 3, 4]-[1, 3, 4, 2]-[2, 3, 1, 4]-[2, 3, 4, 1]-[3, 1, 4, 2]-[3, 4, 1, 2]-[4, 3, 2, 1]",4,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (2, 3)]', '[(3, 2), (1, 2), (3, 4), (4, 2)]']",0.02619748
"[2, 1, 4, 3]-[2, 3, 1, 4]-[2, 4, 3, 1]-[3, 4, 1, 2]-[3, 4, 2, 1]-[4, 1, 2, 3]-[4, 3, 1, 2]",6,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(1, 2), (3, 1), (4, 2), (3, 2), (4, 1)]']",0.02955323
